employee_id,age,experience_years,education,city,company_size,hours_worked_per_week,certifications,remote_work,performance_rating,salary
250,49,13,Master,Kochi,1541,51,9,No,2.26,1685800
251,60,22,High School,Mumbai,1283,42,10,Yes,4.22,2209400
252,41,11,Master,Coimbatore,2968,54,4,Yes,2.4,1524000
253,32,3,Bachelor,Bangalore,235,32,5,Yes,3.79,860200
254,41,12,Bachelor,Bangalore,4603,58,3,Yes,4.06,1649100
255,31,7,Bachelor,Bangalore,1389,43,4,No,2.9,1152100
256,25,0,Master,Coimbatore,4884,49,3,No,2.32,895000
257,40,14,Master,Kochi,2719,44,5,No,4.45,1876000
258,59,24,Master,Pune,3944,40,2,No,4.91,2553100
259,39,10,PhD,Pune,2689,42,4,No,3.1,1524200
260,57,24,Diploma,Chennai,3801,60,3,No,4.39,2551500
261,25,4,Bachelor,Coimbatore,1160,50,4,Yes,2.76,834700
262,30,4,High School,Coimbatore,4789,42,8,No,3.63,931600
263,44,12,Bachelor,Bangalore,915,54,3,No,2.5,1335400
264,60,31,Bachelor,Kochi,2736,60,6,Yes,2.03,2770900
265,37,10,Bachelor,Pune,3671,41,6,No,4.32,1609400
266,58,21,PhD,Coimbatore,876,39,6,Yes,2.35,2162400
267,30,3,Master,Coimbatore,2873,45,1,No,4.17,1107200
268,49,15,Master,Bangalore,205,57,5,Yes,4.03,1883300
269,31,10,Bachelor,Hyderabad,2731,47,6,No,2.7,1353100
270,46,13,Bachelor,Kochi,259,53,9,Yes,3.35,1588900
271,48,12,Diploma,Bangalore,4749,33,8,Yes,3.1,1509000
272,33,4,Master,Delhi,4910,42,9,No,3.76,1279900
273,43,11,Diploma,Mumbai,4854,32,10,Yes,2.94,1457100
274,36,8,Bachelor,Kochi,3446,49,2,No,3.27,1292400
275,52,15,Bachelor,Hyderabad,4565,35,7,No,2.42,1632400
276,41,14,Master,Chennai,3989,34,3,No,4.89,1801800
277,53,17,Bachelor,Coimbatore,4023,35,1,Yes,4.39,1817100
278,35,7,Bachelor,Hyderabad,3766,48,7,Yes,3.72,1348900
279,38,11,Bachelor,Chennai,3635,47,3,No,2.31,1292200
280,36,5,Bachelor,Delhi,732,44,1,Yes,2.63,1052700
281,58,19,Bachelor,Kochi,1379,49,2,Yes,4.44,1916800
282,24,0,Bachelor,Hyderabad,2671,52,4,No,3.72,788700
283,53,23,High School,Kochi,505,38,10,Yes,4.1,2169300
284,29,4,Master,Kochi,4029,34,9,No,3.88,1306700
285,45,10,Master,Bangalore,3320,46,4,No,3.36,1541500
286,52,18,Master,Bangalore,3775,50,10,No,4.55,2286200
287,55,14,Master,Coimbatore,2219,40,4,No,3.64,1831000
288,29,1,Bachelor,Chennai,396,33,10,No,2.05,649500
289,31,5,PhD,Pune,1100,58,10,No,2.48,1347800
290,38,12,High School,Hyderabad,444,42,10,No,4.18,1529000
291,35,7,High School,Pune,3926,32,2,Yes,3.56,1026500
292,49,21,Master,Kochi,1102,45,1,Yes,3.15,2081500
293,27,5,Bachelor,Kochi,1110,50,10,Yes,2.21,1066100
294,57,25,Bachelor,Pune,1260,59,6,No,4.58,2548300
295,26,4,Diploma,Kochi,2899,60,6,No,4.37,1104300
296,36,8,Bachelor,Mumbai,239,57,10,No,2.62,1296600
297,59,17,Bachelor,Chennai,1980,45,6,Yes,2.72,1791600
298,59,28,High School,Delhi,2612,34,6,No,3.1,2458000
299,32,7,Master,Chennai,4831,32,0,No,2.65,1032400
300,24,3,Bachelor,Kochi,3489,52,6,Yes,3.92,1046500
301,55,18,Bachelor,Pune,1292,47,5,No,3.76,1917900
302,25,1,PhD,Pune,494,37,1,No,2.35,841400
303,60,21,Master,Hyderabad,998,30,2,Yes,2.49,1936900
304,43,8,Master,Hyderabad,3066,34,4,Yes,4.31,1383700
305,22,0,Bachelor,Mumbai,4743,50,1,No,3.37,809100
306,44,19,Diploma,Hyderabad,2109,54,1,Yes,2.69,1821700
307,53,25,High School,Chennai,3884,41,6,Yes,2.54,2208500
308,23,0,Master,Kochi,1859,40,3,No,4.75,878200
309,41,11,Bachelor,Chennai,1489,37,8,Yes,4.86,1604300
310,25,4,Master,Mumbai,2701,32,8,No,2.02,934700
311,33,5,Master,Pune,3820,41,9,No,4.99,1504700
312,33,6,Master,Hyderabad,72,59,6,Yes,2.7,1090200
313,43,10,High School,Delhi,31,54,10,No,4.55,1363400
314,40,14,Diploma,Coimbatore,510,34,4,Yes,2.13,1355500
315,35,11,Master,Delhi,3775,53,1,Yes,3.52,1530500
316,46,18,Bachelor,Hyderabad,1959,39,4,No,4.78,2032700
317,46,13,Bachelor,Mumbai,1933,32,3,Yes,4.34,1490900
318,58,23,Bachelor,Delhi,3350,33,8,No,4.89,2432200
319,34,4,Master,Bangalore,1311,55,10,No,4.48,1342800
320,59,28,Bachelor,Bangalore,2053,60,5,No,3.54,2680700
321,40,10,High School,Kochi,3724,47,8,Yes,2.28,1420800
322,27,4,High School,Pune,1090,36,6,No,4.06,877100
323,26,0,Master,Chennai,548,36,10,No,4.43,925100
324,26,5,Bachelor,Chennai,3796,31,2,No,4.47,1049000
325,46,12,Bachelor,Delhi,1778,59,2,No,2.84,1488700
326,30,9,Diploma,Mumbai,4106,43,8,No,2.18,1248900
327,38,7,Bachelor,Pune,4473,55,0,No,4.35,1341200
328,43,8,Bachelor,Delhi,3201,38,2,Yes,2.96,1170900
329,35,13,Bachelor,Coimbatore,4357,41,9,Yes,4.92,1841000
330,27,3,Bachelor,Chennai,1817,48,6,No,4.81,1140600
331,32,8,Master,Delhi,4866,30,5,Yes,3.69,1436400
332,33,10,PhD,Mumbai,1458,45,0,Yes,2.17,1320300
333,59,23,High School,Pune,1088,40,2,No,2.18,1974600
334,30,0,Master,Delhi,614,41,10,No,3.76,852100
335,42,12,Diploma,Kochi,4011,50,5,Yes,4.12,1584800
336,56,18,Master,Pune,4844,56,2,No,2.92,1932000
337,39,14,Master,Kochi,4668,31,2,No,4.76,1887700
338,60,24,Master,Hyderabad,2732,53,1,Yes,3.04,2409300
339,41,15,High School,Delhi,3678,30,4,Yes,2.75,1576600
340,25,0,Master,Chennai,3181,44,6,Yes,4.65,1061500
341,52,20,Bachelor,Coimbatore,4755,50,10,Yes,2.49,2095000
342,25,2,High School,Mumbai,877,32,5,Yes,4.66,750000
343,31,5,Master,Bangalore,2788,49,9,No,4.11,1291900
344,48,17,Master,Hyderabad,458,33,5,Yes,4.92,1954200
345,47,14,Master,Mumbai,2326,39,3,Yes,2.15,1502900
346,57,18,High School,Chennai,3522,32,4,No,2.6,1675500
347,22,1,PhD,Coimbatore,966,39,6,No,3.47,1082200
348,37,12,Diploma,Kochi,3046,35,7,Yes,2.79,1421500
349,50,16,Bachelor,Hyderabad,812,32,10,No,4.42,1973000
350,47,19,Bachelor,Kochi,4300,43,8,No,3.72,2104000
351,36,7,Master,Chennai,4133,48,8,Yes,2.36,1316100
352,49,20,PhD,Pune,1053,31,6,Yes,4.96,2457600
353,48,17,Diploma,Mumbai,2639,59,1,Yes,3.16,1825100
354,46,9,Bachelor,Chennai,4833,46,6,Yes,3.24,1358700
355,30,1,PhD,Bangalore,885,48,1,No,4.6,1035500
356,43,14,Bachelor,Coimbatore,326,35,4,No,2.43,1421200
357,59,21,Bachelor,Delhi,1966,31,7,No,4.69,2162500
358,22,0,Bachelor,Coimbatore,824,57,3,Yes,2.9,743900
359,49,17,Master,Bangalore,1559,44,3,No,4.22,1937000
360,54,23,Bachelor,Hyderabad,557,39,8,No,2.41,2066700
361,54,20,Diploma,Pune,492,37,0,No,2.15,1662100
362,44,13,Master,Kochi,1034,51,0,Yes,3.12,1522300
363,59,15,Bachelor,Delhi,2840,35,4,Yes,2.86,1662400
364,45,19,Master,Pune,1833,50,3,Yes,2.81,2029000
365,47,9,PhD,Chennai,3903,59,2,Yes,3.8,1631400
366,21,0,Master,Mumbai,3491,58,6,No,3.38,1033400
367,34,3,Master,Kochi,4808,33,0,No,3.68,1008700
368,59,20,Diploma,Bangalore,2774,38,10,No,4.58,2123200
369,37,5,Bachelor,Pune,1248,46,3,Yes,4.42,994700
370,59,20,Diploma,Chennai,4094,39,4,No,3.21,1976200
371,23,0,Master,Delhi,1841,51,8,No,4.72,969800
372,43,7,Master,Hyderabad,2426,33,7,Yes,4.22,1353000
373,56,21,Bachelor,Delhi,751,37,5,Yes,4.23,2064000
374,40,5,Bachelor,Mumbai,3819,57,1,No,2.16,1043400
375,58,18,Bachelor,Pune,4119,33,10,No,3.59,1993400
376,47,21,Diploma,Pune,2827,43,9,No,2.43,2059800
377,32,7,Bachelor,Hyderabad,2587,50,0,Yes,3.36,1077700
378,34,7,Master,Coimbatore,741,34,9,No,3.9,1303700
379,46,11,High School,Pune,3076,60,0,No,4.27,1457500
380,54,21,Bachelor,Pune,1873,52,5,No,2.39,2127300
381,45,11,High School,Chennai,2462,60,4,No,4.18,1481400
382,59,19,Bachelor,Hyderabad,2827,58,7,No,4.25,2174400
383,31,10,Bachelor,Pune,1857,53,2,Yes,4.2,1399400
384,58,20,Master,Chennai,3093,58,10,No,4.31,2412200
385,60,32,Bachelor,Chennai,415,52,1,No,3.33,2776300
386,28,0,Diploma,Chennai,2486,43,10,Yes,3.99,775600
387,38,6,Bachelor,Bangalore,4210,53,9,Yes,2.85,1180100
388,27,0,Master,Pune,2952,52,6,No,2.48,847000
389,56,18,Master,Delhi,1941,30,0,Yes,4.72,1965700
390,57,20,High School,Bangalore,849,58,4,Yes,3.37,1889300
391,39,10,Master,Chennai,2400,41,10,No,3.28,1593100
392,28,7,High School,Hyderabad,1416,40,5,No,4.87,1229700
393,38,11,Master,Hyderabad,952,42,6,No,2.82,1472700
394,45,13,Bachelor,Hyderabad,946,34,0,Yes,2.31,1254800
395,58,18,Bachelor,Kochi,2957,49,0,Yes,3.45,1869000
396,52,20,High School,Mumbai,2594,30,10,Yes,4.93,2124600
397,42,8,Bachelor,Kochi,2056,45,5,No,2.45,1182200
398,56,24,High School,Hyderabad,4161,57,7,No,4.61,2400400
399,25,2,Bachelor,Mumbai,432,46,3,No,3.21,732900
400,36,11,Bachelor,Bangalore,4103,44,5,Yes,4.94,1658500
401,22,1,Bachelor,Chennai,764,55,9,No,4.67,1039900
402,56,22,PhD,Delhi,464,56,3,No,3.0,2406700
403,60,19,Bachelor,Coimbatore,954,33,10,Yes,2.01,1800000
404,43,16,Bachelor,Delhi,890,31,2,No,2.42,1439700
405,47,18,Diploma,Kochi,1786,44,3,No,2.32,1734200
406,47,19,Bachelor,Bangalore,3710,44,10,Yes,4.89,2250800
407,21,0,Master,Coimbatore,4184,54,2,Yes,4.19,939800
408,29,8,Bachelor,Delhi,4149,58,6,No,4.94,1584000
409,36,7,PhD,Coimbatore,1112,34,6,No,4.53,1609400
410,56,24,Master,Pune,1665,36,9,No,4.06,2435900
411,29,8,PhD,Delhi,965,54,5,No,3.75,1534700
